objective,model,scenario,elapsed_seconds_natural,llm_calls_natural,llm_failures_natural,total_shelf_deliveries_natural
shelf,gemma3:12b,medium_agv_heavy_6v2,2835.0268371105194,184.0,1.0,0.0
shelf,gemma3:12b,medium_balanced_4v4,1959.8364417552948,179.0,0.0,0.0
shelf,gemma3:12b,small_agv_heavy_4v2,1419.0148904323578,141.0,3.0,0.0
shelf,gemma3:12b,small_balanced_2v2,1150.1847701072693,127.0,0.0,0.0
shelf,gemma3:12b,small_picker_heavy_2v4,913.8501534461975,96.0,0.0,0.0
shelf,gemma3:12b,tiny_balanced_1v1,764.6000277996063,94.0,0.0,1.0
shelf,llama3.2:1b,medium_agv_heavy_6v2,363.4144697189331,172.0,0.0,0.0
shelf,llama3.2:1b,medium_balanced_4v4,520.5729086399078,180.0,0.0,0.0
shelf,llama3.2:1b,small_agv_heavy_4v2,398.97111988067627,136.0,0.0,0.0
shelf,llama3.2:1b,small_balanced_2v2,386.43067264556885,140.0,0.0,0.0
shelf,llama3.2:1b,small_picker_heavy_2v4,394.1146295070648,134.0,0.0,0.0
shelf,llama3.2:1b,tiny_balanced_1v1,219.19911003112793,86.0,0.0,0.0
shelf,llama3.2:3b,medium_agv_heavy_6v2,278.46450424194336,131.0,0.0,0.0
shelf,llama3.2:3b,medium_balanced_4v4,504.5733554363251,200.0,0.0,0.0
shelf,llama3.2:3b,small_agv_heavy_4v2,341.70221066474915,200.0,0.0,0.0
shelf,llama3.2:3b,small_balanced_2v2,344.79594564437866,241.0,0.0,2.0
shelf,llama3.2:3b,small_picker_heavy_2v4,238.47966885566711,148.0,0.0,0.0
shelf,llama3.2:3b,tiny_balanced_1v1,119.89301943778992,68.0,0.0,1.0
shelf,mistral:7b,medium_agv_heavy_6v2,2145.6248116493225,200.0,0.0,0.0
shelf,mistral:7b,medium_balanced_4v4,1400.4892225265503,184.0,0.0,0.0
shelf,mistral:7b,small_agv_heavy_4v2,1093.516077041626,163.0,0.0,0.0
shelf,mistral:7b,small_balanced_2v2,948.4999520778656,213.0,0.0,1.0
shelf,mistral:7b,small_picker_heavy_2v4,341.2003970146179,84.0,0.0,0.0
shelf,mistral:7b,tiny_balanced_1v1,380.47729301452637,186.0,0.0,0.0
shelf,phi4,medium_agv_heavy_6v2,10092.010999917984,172.0,154.0,0.0
shelf,phi4,medium_balanced_4v4,10998.904066801071,182.0,179.0,0.0
shelf,phi4,small_agv_heavy_4v2,13571.398670911789,315.0,66.0,3.0
shelf,phi4,small_balanced_2v2,4148.537052869797,149.0,1.0,2.0
shelf,phi4,small_picker_heavy_2v4,6477.190263748169,162.0,29.0,0.0
shelf,phi4,tiny_balanced_1v1,2329.1568467617035,114.0,1.0,1.0
shelf,qwen2.5:14b,medium_agv_heavy_6v2,2980.2645103931427,113.0,1.0,0.0
shelf,qwen2.5:14b,medium_balanced_4v4,3904.9835052490234,149.0,1.0,0.0
shelf,qwen2.5:14b,small_agv_heavy_4v2,6340.137387514114,200.0,0.0,0.0
shelf,qwen2.5:14b,small_balanced_2v2,5339.396744251251,202.0,0.0,2.0
shelf,qwen2.5:14b,small_picker_heavy_2v4,3843.5694222450256,139.0,0.0,1.0
shelf,qwen2.5:14b,tiny_balanced_1v1,578.2112905979156,28.0,0.0,1.0
