objective,prompt_style,model,scenario,runs,deliveries,llm_calls,failures,elapsed_s
shelf,natural,gemma3:12b,medium_agv_heavy_6v2,1,0.0,184.0,1.0,2835.0268371105194
shelf,natural,gemma3:12b,medium_balanced_4v4,1,0.0,179.0,0.0,1959.8364417552948
shelf,natural,gemma3:12b,small_agv_heavy_4v2,1,0.0,141.0,3.0,1419.0148904323578
shelf,natural,gemma3:12b,small_balanced_2v2,1,0.0,127.0,0.0,1150.1847701072693
shelf,natural,gemma3:12b,small_picker_heavy_2v4,1,0.0,96.0,0.0,913.8501534461975
shelf,natural,gemma3:12b,tiny_balanced_1v1,1,1.0,94.0,0.0,764.6000277996063
shelf,natural,llama3.2:1b,medium_agv_heavy_6v2,1,0.0,172.0,0.0,363.4144697189331
shelf,natural,llama3.2:1b,medium_balanced_4v4,1,0.0,180.0,0.0,520.5729086399078
shelf,natural,llama3.2:1b,small_agv_heavy_4v2,1,0.0,136.0,0.0,398.97111988067627
shelf,natural,llama3.2:1b,small_balanced_2v2,1,0.0,140.0,0.0,386.43067264556885
shelf,natural,llama3.2:1b,small_picker_heavy_2v4,1,0.0,134.0,0.0,394.1146295070648
shelf,natural,llama3.2:1b,tiny_balanced_1v1,1,0.0,86.0,0.0,219.19911003112793
shelf,natural,llama3.2:3b,medium_agv_heavy_6v2,1,0.0,131.0,0.0,278.46450424194336
shelf,natural,llama3.2:3b,medium_balanced_4v4,1,0.0,200.0,0.0,504.5733554363251
shelf,natural,llama3.2:3b,small_agv_heavy_4v2,1,0.0,200.0,0.0,341.70221066474915
shelf,natural,llama3.2:3b,small_balanced_2v2,1,2.0,241.0,0.0,344.79594564437866
shelf,natural,llama3.2:3b,small_picker_heavy_2v4,1,0.0,148.0,0.0,238.47966885566711
shelf,natural,llama3.2:3b,tiny_balanced_1v1,1,1.0,68.0,0.0,119.89301943778992
shelf,natural,mistral:7b,medium_agv_heavy_6v2,1,0.0,200.0,0.0,2145.6248116493225
shelf,natural,mistral:7b,medium_balanced_4v4,1,0.0,184.0,0.0,1400.4892225265503
shelf,natural,mistral:7b,small_agv_heavy_4v2,1,0.0,163.0,0.0,1093.516077041626
shelf,natural,mistral:7b,small_balanced_2v2,1,1.0,213.0,0.0,948.4999520778656
shelf,natural,mistral:7b,small_picker_heavy_2v4,1,0.0,84.0,0.0,341.2003970146179
shelf,natural,mistral:7b,tiny_balanced_1v1,1,0.0,186.0,0.0,380.47729301452637
shelf,natural,phi4,medium_agv_heavy_6v2,1,0.0,172.0,154.0,10092.010999917984
shelf,natural,phi4,medium_balanced_4v4,1,0.0,182.0,179.0,10998.904066801071
shelf,natural,phi4,small_agv_heavy_4v2,1,3.0,315.0,66.0,13571.398670911789
shelf,natural,phi4,small_balanced_2v2,1,2.0,149.0,1.0,4148.537052869797
shelf,natural,phi4,small_picker_heavy_2v4,1,0.0,162.0,29.0,6477.190263748169
shelf,natural,phi4,tiny_balanced_1v1,1,1.0,114.0,1.0,2329.1568467617035
shelf,natural,qwen2.5:14b,medium_agv_heavy_6v2,1,0.0,113.0,1.0,2980.2645103931427
shelf,natural,qwen2.5:14b,medium_balanced_4v4,1,0.0,149.0,1.0,3904.9835052490234
shelf,natural,qwen2.5:14b,small_agv_heavy_4v2,1,0.0,200.0,0.0,6340.137387514114
shelf,natural,qwen2.5:14b,small_balanced_2v2,1,2.0,202.0,0.0,5339.396744251251
shelf,natural,qwen2.5:14b,small_picker_heavy_2v4,1,1.0,139.0,0.0,3843.5694222450256
shelf,natural,qwen2.5:14b,tiny_balanced_1v1,1,1.0,28.0,0.0,578.2112905979156
